"CollectorNo","Barcode","CollectionNo","AddlNo","URB_No","Family","Genus","Species","Infraspecific rank","ScientificNameAuthorship","Qualifiers","TaxonomyNotes","NewReport","Type","TypeName","Stage","HostFam","HostSubFam","HostGen","HostSp","HostScientificNameAuthorship","28S","CO3","EF1a","ITS","SSU","HOST seq","Genome","Pub","Year","Day-Month","Country","StateProvince","City","Locale","Lat","Long","elev m","collection notes","Sources","Collector","Mycoparasites present","Photos","Reference","decade","decade_label"
"MCA3401",NA,"N22939",NA,NA,"Crossopsoraceae",NA,NA,NA,NA,NA,"No known rust on this host genus; Stomatisora?",FALSE,FALSE,NA,NA,"Cyclanthaceae",NA,"Asplundia",NA,NA,"TRUE","TRUE",FALSE,FALSE,"TRUE",NA,NA,NA,2007,"Aug 21","Belize","Cayo","Maya Mountains, Doyle's Delight","way to water creek","16.510000","-89.018400","969","*new record; only one rust known from the entire family, none known from this genus","field collection","Aime, M.C.",NA,FALSE,NA,2000,"2000s"
NA,NA,"N9380",NA,NA,"Pucciniaceae","Aecidium",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,"Asteraceae",NA,NA,NA,NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1996,NA,"Honduras","Francisco Morazan",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,1990,"1990s"
"U18",NA,"BPI843633",NA,NA,"Pucciniaceae","Aecidium","kalanchoe",NA,"J.R. Hern",NA,"Puccinia; needs phylo to confirm & make new comb.",FALSE,TRUE,"Holotype","III","Crassulaceae",NA,"Kalanchoe",NA,NA,"AY463163","FALSE",FALSE,FALSE,"TRUE",NA,NA,NA,2003,"45784","Costa Rica","nd",NA,NA,NA,NA,NA,"nursery in ID, imported from Costa Rica","nursery plant",NA,NA,FALSE,NA,2000,"2000s"
NA,NA,"N8764",NA,NA,"Pucciniaceae","Aecidium",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,"Asteraceae","Asteroideae","Mikania",NA,NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1996,NA,"Honduras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,1990,"1990s"
NA,"PUR057980","N10717",NA,NA,"Raveneliaceae","Aecidium",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,"Verbenaceae",NA,"Petrea",NA,NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1996,NA,"Honduras","Francisco Morazan",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,1990,"1990s"
"19433","PUR057584","43099",NA,NA,"Pucciniaceae","Aecidium","albicans",NA,"Arthur & Holw.",NA,NA,NA,NA,NA,NA,"Phyllanthaceae",NA,"Phyllanthus","acidus",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1921,"46021","El Salvador","San Salvador","vicinity of Tonacatepeque",NA,"13.701667","-89.109443999999996",NA,NA,NA,NA,NA,NA,NA,1920,"1920s"
NA,NA,"43278",NA,NA,"Pucciniaceae","Aecidium","abscedens",NA,"Arthur",NA,NA,NA,NA,NA,NA,"Rubiaceae",NA,"Randia","aculeata",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1915,"46006","Costa Rica","San José",NA,NA,"9.9333329999999993","-84.083332999999996",NA,NA,NA,NA,NA,NA,NA,1910,"1910s"
NA,NA,"51668",NA,NA,"Pucciniaceae","Aecidium","abscedens",NA,"Arthur",NA,NA,NA,NA,NA,NA,"Solanaceae",NA,"Randia","aculeata",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1940,"45981","Guatemala","Santa Rosa",NA,"near Cuilapa","14.074166999999999","-90.416667000000004","895",NA,NA,NA,NA,NA,NA,1940,"1940s"
NA,NA,"43286",NA,NA,"Pucciniaceae","Aecidium","abscedens",NA,"Arthur",NA,NA,NA,NA,NA,NA,"Rubiaceae",NA,"Randia","aculeata",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1923,"45840","Costa Rica","Cartago",NA,NA,"9.8333329999999997","-83.75",NA,NA,NA,NA,NA,NA,NA,1920,"1920s"
NA,"PUR057588","47437",NA,NA,"Pucciniaceae","Aecidium","albicans",NA,"Arthur & Holw.",NA,NA,NA,FALSE,NA,NA,"Phyllanthaceae",NA,"Phyllanthus","acuminatus","Vahl.","FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1924,"46015","Costa Rica","San José","La Caja near San Jose",NA,"9.9333299999999998","-84.083330000000004",NA,NA,NA,NA,NA,NA,"Fungi in itin I. p324",1920,"1920s"
"362","PUR001772","43252",NA,NA,"Pucciniaceae","Aecidium","tenerius",NA,"Arthur & Holw.",NA,NA,NA,NA,"Holotype",NA,"Solanaceae",NA,"Acnistus","arborescens",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1916,"45660","Costa Rica","San José",NA,NA,"9.9333329999999993","-84.083332999999996",NA,NA,NA,NA,NA,NA,NA,1910,"1910s"
NA,NA,"43289",NA,NA,"Pucciniaceae","Aecidium","pulverulentum",NA,"Arthur",NA,NA,NA,NA,NA,NA,"Solanaceae",NA,"Randia","armata",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1923,"45887","Panama",NA,"Alehjuela",NA,"9.2548189999999995","-79.581726000000003",NA,NA,NA,NA,NA,NA,NA,1920,"1920s"
"327","PUR001822","43100",NA,NA,"Pucciniaceae","Aecidium","albicans",NA,"Arthur & Holw.",NA,NA,NA,NA,"Holotype",NA,"Phyllanthaceae",NA,"Phyllanthus","brasiliensis",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1915,"46021","Costa Rica","Alajuela","Orotina",NA,"9.9119720000000004","-84.52337",NA,NA,NA,NA,NA,NA,NA,1910,"1910s"
"504","PUR057587","43103",NA,NA,"Pucciniaceae","Aecidium","albicans",NA,"Arthur & Holw.",NA,NA,NA,NA,NA,NA,"Phyllanthaceae",NA,"Phyllanthus","brasiliensis",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1916,"45707","Guatemala","Escuintla",NA,NA,"14.166667","-91","301",NA,NA,NA,NA,NA,NA,1910,"1910s"
"709","PUR057586","43102",NA,NA,"Pucciniaceae","Aecidium","albicans",NA,"Arthur & Holw.",NA,NA,NA,NA,NA,NA,"Phyllanthaceae",NA,"Phyllanthus","brasiliensis",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1917,"45670","Guatemala","Retalhuleu",NA,NA,"14.452835","-91.763503999999998",NA,NA,NA,NA,NA,NA,NA,1910,"1910s"
"294","PUR057585","43101",NA,NA,"Pucciniaceae","Aecidium","albicans",NA,"Arthur & Holw.",NA,NA,NA,NA,NA,NA,"Phyllanthaceae",NA,"Phyllanthus","brasiliensis",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1915,"46017","Costa Rica",NA,NA,NA,"9.9333329999999993","-84.083332999999996",NA,NA,NA,NA,NA,NA,NA,1910,"1910s"
"41","PUR057896","53056",NA,NA,"Pucciniaceae","Aecidium","cordiae",NA,"Henn.",NA,NA,NA,NA,NA,NA,"Boraginaceae",NA,"Cordia","bullata",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1950,"45839","Honduras",NA,"Escula Agricola Panamamericana",NA,"14.05","-87.216667000000001",NA,NA,NA,NA,NA,NA,NA,1950,"1950s"
"11637","PUR057898","51304",NA,NA,"Pucciniaceae","Aecidium","cordiae",NA,"Henn.",NA,NA,NA,NA,NA,NA,"Boraginaceae",NA,"Cordia","bullata globosa",NA,"FALSE","FALSE",FALSE,FALSE,"FALSE",NA,NA,NA,1947,"45872","Honduras","Morazan","vicinity of El Zamorano",NA,"14.016667","-87.033332999999999","780-900",NA,NA,NA,NA,NA,NA,1940,"1940s"
